time,t,data/C714_1.csv
2009 W53,2010/1/3,0.09061002
2010 W01,2010/1/10,0.139263196
2010 W02,2010/1/17,0.104723632
2010 W03,2010/1/24,0.108340831
2010 W04,2010/1/31,0.10762417
2010 W05,2010/2/7,0.09222753
2010 W06,2010/2/14,0.063007921
2010 W07,2010/2/21,0.109463214
2010 W08,2010/2/28,0.143845076
2010 W09,2010/3/7,0.192428852
2010 W10,2010/3/14,0.223445242
2010 W11,2010/3/21,0.157637601
2010 W12,2010/3/28,0.162534886
2010 W13,2010/4/4,0.154939214
2010 W14,2010/4/11,0.124721089
2010 W15,2010/4/18,0.09520966
2010 W16,2010/4/25,0.067465723
2010 W17,2010/5/2,0.058286453
2010 W18,2010/5/9,0.053165859
2010 W19,2010/5/16,0.04420019
2010 W20,2010/5/23,0.035376459
2010 W21,2010/5/30,0.015633409
2010 W22,2010/6/6,0.005489339
2010 W23,2010/6/13,7.15E-04
2010 W24,2010/6/20,0.003201045
2010 W25,2010/6/27,0.006402091
2010 W26,2010/7/4,0.007959665
2010 W27,2010/7/11,0.013198974
2010 W28,2010/7/18,0.015849361
2010 W29,2010/7/25,0.018272572
2010 W30,2010/8/1,0.019635628
2010 W31,2010/8/8,0.018019397
2010 W32,2010/8/15,0.014925408
2010 W33,2010/8/22,0.011942202
2010 W34,2010/8/29,0.014790911
2010 W35,2010/9/5,0.01452843
2010 W36,2010/9/12,0.037361467
2010 W37,2010/9/19,0.064455653
2010 W38,2010/9/26,0.133098613
2010 W39,2010/10/3,0.14893416
2010 W40,2010/10/10,0.142802965
2010 W41,2010/10/17,0.083512202
2010 W42,2010/10/24,0.131241708
2010 W43,2010/10/31,0.240431113
2010 W44,2010/11/7,0.302325568
2010 W45,2010/11/14,0.253281689
2010 W46,2010/11/21,0.207948949
2010 W47,2010/11/28,0.293085584
2010 W48,2010/12/5,0.329924257
2010 W49,2010/12/12,0.320960324
2010 W50,2010/12/19,0.33150482
2010 W51,2010/12/26,0.364642929
2010 W52,2011/1/2,0.294642216
2011 W01,2011/1/9,0.179400467
2011 W02,2011/1/16,0.16839543
2011 W03,2011/1/23,0.161677115
2011 W04,2011/1/30,0.164434981
2011 W05,2011/2/6,0.178162847
2011 W06,2011/2/13,0.20865524
2011 W07,2011/2/20,0.214845041
2011 W08,2011/2/27,0.183535478
2011 W09,2011/3/6,0.153849914
2011 W10,2011/3/13,0.131288593
2011 W11,2011/3/20,0.10788518
2011 W12,2011/3/27,0.168889847
2011 W13,2011/4/3,0.15249524
2011 W14,2011/4/10,0.134071819
2011 W15,2011/4/17,0.107210939
2011 W16,2011/4/24,0.107652484
2011 W17,2011/5/1,0.074887185
2011 W18,2011/5/8,0.051316383
2011 W19,2011/5/15,0.052365172
2011 W20,2011/5/22,0.051806907
2011 W21,2011/5/29,0.050504289
2011 W22,2011/6/5,0.039615768
2011 W23,2011/6/12,0.033253245
2011 W24,2011/6/19,0.02547797
2011 W25,2011/6/26,0.016741585
2011 W26,2011/7/3,0.021588354
2011 W27,2011/7/10,0.027393995
2011 W28,2011/7/17,0.031049838
2011 W29,2011/7/24,0.025747644
2011 W30,2011/7/31,0.032227021
2011 W31,2011/8/7,0.060714849
2011 W32,2011/8/14,0.05115385
2011 W33,2011/8/21,0.01729823
2011 W34,2011/8/28,0.017866809
2011 W35,2011/9/4,0.01565472
2011 W36,2011/9/11,0.020007625
2011 W37,2011/9/18,0.037889271
2011 W38,2011/9/25,0.108022018
2011 W39,2011/10/2,0.095298115
2011 W40,2011/10/9,0.026489269
2011 W41,2011/10/16,0.091816937
2011 W42,2011/10/23,0.106908372
2011 W43,2011/10/30,0.108465856
2011 W44,2011/11/6,0.018965928
2011 W45,2011/11/13,0.037825338
2011 W46,2011/11/20,0.045590382
2011 W47,2011/11/27,0.039162354
2011 W48,2011/12/4,0.022783806
2011 W49,2011/12/11,0.011298737
2011 W50,2011/12/18,0.006844723
2011 W51,2011/12/25,0.052341374
2011 W52,2012/1/1,0.092455559
2012 W01,2012/1/8,0.065044853
2012 W02,2012/1/15,0.050954379
2012 W03,2012/1/22,0.073859731
2012 W04,2012/1/29,0.081806416
2012 W05,2012/2/5,0.106805882
2012 W06,2012/2/12,0.124906637
2012 W07,2012/2/19,0.196852104
2012 W08,2012/2/26,0.218656171
2012 W09,2012/3/4,0.357143326
2012 W10,2012/3/11,0.439514879
2012 W11,2012/3/18,0.463536312
2012 W12,2012/3/25,0.488757582
2012 W13,2012/4/1,0.541450942
2012 W14,2012/4/8,0.475940472
2012 W15,2012/4/15,0.367477775
2012 W16,2012/4/22,0.297416207
2012 W17,2012/4/29,0.264384757
2012 W18,2012/5/6,0.264254227
2012 W19,2012/5/13,0.263340515
2012 W20,2012/5/20,0.202603015
2012 W21,2012/5/27,0.151018383
2012 W22,2012/6/3,0.124157908
