t,data
2008/1/1,7.700355366
2008/2/1,8.995924693
2008/3/1,6.495331585
2008/4/1,19.40313487
2008/5/1,12.19541753
2008/6/1,10.22869119
2008/7/1,5.688140415
2008/8/1,9.117079392
2008/9/1,8.269636059
2008/10/1,0.691058932
2008/11/1,0.101795777
2008/12/1,2.258461235
2009/1/1,4.304566273
2009/2/1,9.255274644
2009/3/1,5.612238121
2009/4/1,2.148736767
2009/5/1,2.756089922
2009/6/1,1.554212308
2009/7/1,-0.312649368
2009/8/1,4.194664605
2009/9/1,4.388524362
2009/10/1,-0.041470316
2009/11/1,0.314098208
2009/12/1,0.350772363
2010/1/1,11.73129293
2010/2/1,5.916242508
2010/3/1,6.977754567
2010/4/1,3.551547376
2010/5/1,0.277571588
2010/6/1,-0.234289514
2010/7/1,0.179206624
2010/8/1,0.128107913
2010/9/1,0.151775554
2010/10/1,5.274849894
2010/11/1,0.644214843
2010/12/1,2.376268026
2011/1/1,10.62591948
2011/2/1,12.17377265
2011/3/1,6.689656762
2011/4/1,2.503066026
2011/5/1,0.286155818
2011/6/1,7.94286129
2011/7/1,0.371361842
2011/8/1,10.6121042
2011/9/1,14.18528584
2011/10/1,2.395153911
2011/11/1,2.759306305
2011/12/1,10.35623701
2012/1/1,0.046037587
2012/2/1,9.352972276
2012/3/1,10.50384083
2012/4/1,0.457214328
2012/5/1,0.185359723
2012/6/1,0.3569509
2012/7/1,0.697775174
2012/8/1,3.439887649
2012/9/1,7.150910112
2012/10/1,5.872218233
2012/11/1,7.490752603
2012/12/1,6.626605308
2013/1/1,1.547152912
2013/2/1,10.31838318
2013/3/1,2.019711056
2013/4/1,11.97796095
2013/5/1,8.121676942
2013/6/1,4.843610795
2013/7/1,7.374826032
2013/8/1,3.924022728
2013/9/1,5.958962088
2013/10/1,-0.262797099
2013/11/1,0.136879034
2013/12/1,0.282744532
2014/1/1,4.536479392
2014/2/1,4.729893564
2014/3/1,30.77094199
2014/4/1,38.77054579
2014/5/1,19.55791162
2014/6/1,20.10042711
2014/7/1,6.662243955
2014/8/1,9.123275004
2014/9/1,5.216354981
2014/10/1,2.073161178
2014/11/1,4.766654603
2014/12/1,8.236807255
2015/1/1,21.07545376
2015/2/1,19.11759563
2015/3/1,20.65851242
2015/4/1,17.98740911
2015/5/1,23.71733684
2015/6/1,25.85897785
2015/7/1,14.15110761
2015/8/1,1.768504347
2015/9/1,2.653099706
2015/10/1,-0.329497714
2015/11/1,3.611437955
2015/12/1,16.79104478
